Clustering_Algorithm,N_Clusters,Dataset,Metric,Value,Data_Perspective
GMM,5,Madelon,Mutual_Information,0.002436413959438539,PCA
Kmeans,5,Madelon,Mutual_Information,0.0022555589129312553,PCA
GMM,10,Madelon,Mutual_Information,0.022113923409574302,PCA
Kmeans,10,Madelon,Mutual_Information,0.0109110544004694,PCA
GMM,15,Madelon,Mutual_Information,0.043636965768380206,PCA
Kmeans,15,Madelon,Mutual_Information,0.026741815273450115,PCA
GMM,20,Madelon,Mutual_Information,0.04322921366714603,PCA
Kmeans,20,Madelon,Mutual_Information,0.039229656810546486,PCA
GMM,25,Madelon,Mutual_Information,0.05347723736633755,PCA
Kmeans,25,Madelon,Mutual_Information,0.03758256506977831,PCA
GMM,30,Madelon,Mutual_Information,0.04716875117064152,PCA
Kmeans,30,Madelon,Mutual_Information,0.04611058748647365,PCA
GMM,35,Madelon,Mutual_Information,0.055036350877290606,PCA
Kmeans,35,Madelon,Mutual_Information,0.04367044387195585,PCA
GMM,40,Madelon,Mutual_Information,0.052662281868388526,PCA
Kmeans,40,Madelon,Mutual_Information,0.046753296701188135,PCA
K_Means,2,Madelon,SSE,34681.18222115507,RP
K_Means,5,Madelon,SSE,31995.91801707325,RP
K_Means,10,Madelon,SSE,29838.846968776295,RP
K_Means,15,Madelon,SSE,28569.5191206968,RP
K_Means,20,Madelon,SSE,27531.127145225488,RP
K_Means,25,Madelon,SSE,26817.74838412035,RP
K_Means,30,Madelon,SSE,26169.67957006516,RP
K_Means,35,Madelon,SSE,25614.425177715068,RP
K_Means,40,Madelon,SSE,25163.095641391305,RP
K_Means,2,Cars,SSE,52968.02717282718,RP
K_Means,5,Cars,SSE,40385.60036675886,RP
K_Means,10,Cars,SSE,34076.234715992745,RP
K_Means,15,Cars,SSE,30630.741668559487,RP
K_Means,20,Cars,SSE,28276.419847497255,RP
K_Means,25,Cars,SSE,26384.658269378906,RP
K_Means,30,Cars,SSE,24795.300064342933,RP
K_Means,35,Cars,SSE,23775.17809459236,RP
K_Means,40,Cars,SSE,22280.15772953041,RP
EM,2,Madelon,log-likelihood,-28.029919737717773,RP
