Data_Perspective,Dataset,N_Components,Metric,Value
PCA,Madelon,220,Explained_Variance,0.9961256743042892
PCA,Madelon,221,Explained_Variance,0.9933954456283696
PCA,Madelon,222,Explained_Variance,0.9920245299389404
PCA,Madelon,223,Explained_Variance,0.9865702948905404
PCA,Madelon,224,Explained_Variance,0.9841732221143132
PCA,Madelon,225,Explained_Variance,0.980534434319617
PCA,Madelon,226,Explained_Variance,0.9757993299292284
PCA,Madelon,227,Explained_Variance,0.97322203023141
PCA,Madelon,228,Explained_Variance,0.967604202848394
PCA,Madelon,229,Explained_Variance,0.9625652599234934
PCA,Madelon,230,Explained_Variance,0.9600090672930196
PCA,Madelon,231,Explained_Variance,0.9580499002772432
PCA,Madelon,232,Explained_Variance,0.9567428359084026
PCA,Madelon,233,Explained_Variance,0.9540083864963984
PCA,Madelon,234,Explained_Variance,0.9490290181999592
PCA,Madelon,235,Explained_Variance,0.945232562519964
PCA,Madelon,236,Explained_Variance,0.9415734927909444
PCA,Madelon,237,Explained_Variance,0.9387054985769984
PCA,Madelon,238,Explained_Variance,0.9370376883546756
PCA,Madelon,239,Explained_Variance,0.935761308837172
PCA,Madelon,240,Explained_Variance,0.9290362227045791
PCA,Madelon,241,Explained_Variance,0.9257772446485938
PCA,Madelon,242,Explained_Variance,0.9211014883450708
PCA,Madelon,243,Explained_Variance,0.920438274668748
PCA,Madelon,244,Explained_Variance,0.913975842839866
PCA,Madelon,245,Explained_Variance,0.9124465085215188
PCA,Madelon,246,Explained_Variance,0.9088984432750036
PCA,Madelon,247,Explained_Variance,0.9044795109272048
PCA,Madelon,248,Explained_Variance,0.9011898646821768
PCA,Madelon,249,Explained_Variance,0.9005387907548124
PCA,Madelon,250,Explained_Variance,0.896463705084217
PCA,Madelon,251,Explained_Variance,0.8944486606742186
PCA,Madelon,252,Explained_Variance,0.8918983057760829
PCA,Madelon,253,Explained_Variance,0.8852230258986725
PCA,Madelon,254,Explained_Variance,0.8837014731730838
PCA,Madelon,255,Explained_Variance,0.8819007911124656
PCA,Madelon,256,Explained_Variance,0.8794016570162225
PCA,Madelon,257,Explained_Variance,0.8750983428208509
PCA,Madelon,258,Explained_Variance,0.8733290863691769
PCA,Madelon,259,Explained_Variance,0.8705213218205793
PCA,Madelon,260,Explained_Variance,0.8640577363887506
PCA,Madelon,261,Explained_Variance,0.8630320875540001
PCA,Madelon,262,Explained_Variance,0.8557712208995174
PCA,Madelon,263,Explained_Variance,0.8550372609787141
PCA,Madelon,264,Explained_Variance,0.8516035068637388
PCA,Madelon,265,Explained_Variance,0.8502252013652303
PCA,Madelon,266,Explained_Variance,0.8451661784573363
PCA,Madelon,267,Explained_Variance,0.8413771155419942
PCA,Madelon,268,Explained_Variance,0.8401238435469033
PCA,Madelon,269,Explained_Variance,0.8382102704099217
PCA,Madelon,270,Explained_Variance,0.8363072995253661
PCA,Madelon,271,Explained_Variance,0.8320301095497221
PCA,Madelon,272,Explained_Variance,0.8278090847222574
PCA,Madelon,273,Explained_Variance,0.823519927393192
PCA,Madelon,274,Explained_Variance,0.8213673330743076
PCA,Madelon,275,Explained_Variance,0.8210269617304407
PCA,Madelon,276,Explained_Variance,0.8165683784877352
PCA,Madelon,277,Explained_Variance,0.8150259216537201
PCA,Madelon,278,Explained_Variance,0.8135902927906508
PCA,Madelon,279,Explained_Variance,0.8107924218069591
PCA,Madelon,280,Explained_Variance,0.8079757208916539
PCA,Madelon,281,Explained_Variance,0.8028480416190424
PCA,Madelon,282,Explained_Variance,0.8009727192230858
PCA,Madelon,283,Explained_Variance,0.7978639241183101
PCA,Madelon,284,Explained_Variance,0.794349665168218
PCA,Madelon,285,Explained_Variance,0.7919436251134793
PCA,Madelon,286,Explained_Variance,0.7900001775954643
PCA,Madelon,287,Explained_Variance,0.7860085027909359
PCA,Madelon,288,Explained_Variance,0.7839391556113547
PCA,Madelon,289,Explained_Variance,0.7782723953930358
PCA,Madelon,290,Explained_Variance,0.7739475861811741
PCA,Madelon,291,Explained_Variance,0.7726216734104809
PCA,Madelon,292,Explained_Variance,0.7704811476003355
PCA,Madelon,293,Explained_Variance,0.7663306375570051
PCA,Madelon,294,Explained_Variance,0.7608385490249608
PCA,Madelon,295,Explained_Variance,0.7592901274279815
PCA,Madelon,296,Explained_Variance,0.7572911314027194
PCA,Madelon,297,Explained_Variance,0.7548729601042916
PCA,Madelon,298,Explained_Variance,0.7517144019466777
PCA,Madelon,299,Explained_Variance,0.7486369059067697
PCA,Madelon,300,Explained_Variance,0.7434259372786332
PCA,Madelon,301,Explained_Variance,0.7416128504803442
PCA,Madelon,302,Explained_Variance,0.7396693765331231
PCA,Madelon,303,Explained_Variance,0.7347281957749655
PCA,Madelon,304,Explained_Variance,0.7326741718919139
PCA,Madelon,305,Explained_Variance,0.7286901909859931
PCA,Madelon,306,Explained_Variance,0.7264405176435909
PCA,Madelon,307,Explained_Variance,0.7234480822477178
PCA,Madelon,308,Explained_Variance,0.7214136465693561
PCA,Madelon,309,Explained_Variance,0.7147781586901372
PCA,Madelon,310,Explained_Variance,0.7127456359833124
PCA,Madelon,311,Explained_Variance,0.7116608203200845
PCA,Madelon,312,Explained_Variance,0.7076203520343026
PCA,Madelon,313,Explained_Variance,0.7061829228221113
PCA,Madelon,314,Explained_Variance,0.7039406227247477
PCA,Madelon,315,Explained_Variance,0.7030338416965718
PCA,Madelon,316,Explained_Variance,0.6982187523353081
PCA,Madelon,317,Explained_Variance,0.6975564111442244
PCA,Madelon,318,Explained_Variance,0.6922470481091729
PCA,Madelon,319,Explained_Variance,0.6912287132401431
PCA,Madelon,320,Explained_Variance,0.6884431290235166
PCA,Madelon,321,Explained_Variance,0.6832226028310374
PCA,Madelon,322,Explained_Variance,0.6814677244205609
PCA,Madelon,323,Explained_Variance,0.6810518855486322
PCA,Madelon,324,Explained_Variance,0.6779727322558937
PCA,Madelon,325,Explained_Variance,0.6768523236230292
PCA,Madelon,326,Explained_Variance,0.6715831367891257
PCA,Madelon,327,Explained_Variance,0.6699990752222003
PCA,Madelon,328,Explained_Variance,0.6634276806636591
PCA,Madelon,329,Explained_Variance,0.6605830025863648
PCA,Madelon,330,Explained_Variance,0.6577160314469345
PCA,Madelon,331,Explained_Variance,0.6568816601466031
PCA,Madelon,332,Explained_Variance,0.654327079920296
PCA,Madelon,333,Explained_Variance,0.6508045671561538
PCA,Madelon,334,Explained_Variance,0.6484264332025348
PCA,Madelon,335,Explained_Variance,0.6451392457159361
PCA,Madelon,336,Explained_Variance,0.6435350347493988
PCA,Madelon,337,Explained_Variance,0.6406083431712617
PCA,Madelon,338,Explained_Variance,0.6373812306276218
PCA,Madelon,339,Explained_Variance,0.6338880760714339
PCA,Madelon,340,Explained_Variance,0.6318049459329506
PCA,Madelon,341,Explained_Variance,0.628647796810021
PCA,Madelon,342,Explained_Variance,0.6282107999588308
PCA,Madelon,343,Explained_Variance,0.6244326828584504
PCA,Madelon,344,Explained_Variance,0.6221128873809215
PCA,Madelon,345,Explained_Variance,0.6180464459964603
PCA,Madelon,346,Explained_Variance,0.6129685428662265
PCA,Madelon,347,Explained_Variance,0.6102978085445534
PCA,Madelon,348,Explained_Variance,0.6089048864728366
PCA,Madelon,349,Explained_Variance,0.6066178078441975
PCA,Madelon,350,Explained_Variance,0.6038584213466978
PCA,Madelon,351,Explained_Variance,0.6023222878336387
PCA,Madelon,352,Explained_Variance,0.6006769101397471
PCA,Madelon,353,Explained_Variance,0.5985630798796387
PCA,Madelon,354,Explained_Variance,0.5955759428393185
PCA,Madelon,355,Explained_Variance,0.5922902189305066
PCA,Madelon,356,Explained_Variance,0.589068177696321
PCA,Madelon,357,Explained_Variance,0.5860451164836338
PCA,Madelon,358,Explained_Variance,0.5831453352745601
PCA,Madelon,359,Explained_Variance,0.580008241823115
PCA,Madelon,360,Explained_Variance,0.5778784337786321
PCA,Madelon,361,Explained_Variance,0.5733015374544203
